topic_id,count,keywords,representative_1,representative_2,representative_3
2,877,"redacted redacted, account, crypto_exchange, bank, money_amount, money, email, funds, received, phone, card, number, did, information, transfer","i opened an account with crypto_exchange global inc. several years ago and purchased several crypto currencies to include redacted and redacted . last year the company contacted me and said my account has suspicious activity and recommended that i allow them to lock down the account. i agreed. six to eighxxxx months ago i contacted crypto_exchange customer support and requested access to my account. i provided picture i'd, license, and email information. i spoke to a customer service person several times and was always told someone would contact me. no one ever did. i applied to access my acco","on wednesday ( redacted / redacted /2021 ), i received a text message from phone number redacted with the message that "" my bank account was locked due to suspicious activity '' and the link to an website that look identical to bank website. in that website, i was asked to provide my personal information including my name, date of birth, address, phone number, social security number, driver license number and bank bank account information. on friday ( redacted / redacted /2021 ), during redacted , i was working and noticed my phone was out of service. i didn't think too much and came home at r",i have my crypto_exchange account being link with my redacted redacted account. on redacted redacted redacted . they transfered money_amount from redacted redacted to crypto_exchange then they sold all my crypto and they added an other bank account to my crypto_exchange to transfer over redacted dollars. i m very concern about my both account and get my money back
3,786,"redacted redacted, bank, money, money_amount, said, told, check, account, called, send, sent, number, person, phone, asked","im part of a group on redacted called redacted redacted redacted redacted redacted redacted redacted redacted . i applied to a job posting via email. i was offered a position where i was told id be paid $ redacted /wk to have my car wrapped for their sports drink company. they sent me a check for money_amount , which i deposited and had me send a redacted payment through my bank account for money_amount to the installer. i sent the redacted payment on redacted / redacted / redacted at redacted . shortly after, i realized it was a fraud when they asked me to send more money, this time they aske","i hired an appraiser and he asked me to send the money via redacted . i checked with him to confirm the phone number for the redacted he did. ( i have all the email chains and confirmation from him ). after i paid the appraiser money_amount via redacted and money_amount via redacted on redacted / redacted /year>, he said that he didn't receive the money. he denied all the email he sent and said it wasn't me who send these emails. i told him then your email got hacked and he got angry at me. he told me it is the first time this happens to his company. i called bank bank and even went in person ","on redacted / redacted /2022 i received a phone call that showed up as bank bank via caller id. the person calling said they were a bank bank representative, and they wanted to flag some attempted purchases from another state. they read through multiple charges and asked if that was me, and i said no. they then said they would make sure those charges wouldn't go through. they also said there was a scheduled pending redacted payment for money_amount and the only way to be able to cancel that was if i sent money of the same amount to myself through redacted . they then instructed me how to put m"
6,510,"payment_app, redacted redacted, money, sent, money_amount, refund, account, person, send, redacted payment_app, said, item, scammed, payment_app account, contacted","i was scammed by someone messaging me about interest in an item i listed for sale on redacted redacted . the individual made me believe i had to open a "" business account '' on payment_app in order for them to pay me for the item. they sent me fake transactions on their end and fake email messages pretending to be from payment_app . i was asked by the fake "" payment_app '' that i needed to send a refund of money_amount to the buyer and then our original transaction and my "" business account '' would be complete. i sent money_amount via my payment_app account to redacted on redacted / redacted ","i was called from what i thought was my tax preparer stating my refund is pending and they were waiting on a payment and to sent it through payment_app . redacted / redacted / redacted when i sent the money_amount to the recipient.i called my tax preparer to see if she received my payment and my tax preparer stating she never received the funds. tried to refund the money by payment_app from the person who received it and they wont return my funds, they have declined my request and i contacted my redacted redacted and they have declined my request on redacted / redacted / redacted . payment_app",so i was trying to get a refund on redacted / redacted / redacted and i ended getting scammed on the phone by someone pretending to be an redacted employee. the man said he could get my refund through payment_app . first he sent me redacted dollars and told me to send it back in which i did. then he told me to send redacted dollars and he said redacted send it back but he didnt and disconnected the call. i was able to get the redacted back but then on redacted / redacted / redacted the payment_app account of the fake redacted employee filed a chargeback case on me and for the redacted that he 
1,432,"redacted redacted, payment_app, bank, transaction, account, money_amount, fraud, dispute, funds, year, redacted year, fraudulent, financial, transactions, complaint","dear redacted , i am writing to file a formal complaint against payment_app regarding their mishandling of fraudulent transactions on my account and their refusal to accept key evidence proving that i was a victim of a scam. below are the details of my experience : issue description i became aware that i had been scammed and that fraudulent transactions occurred on my payment_app account between redacted / redacted /year> and redacted / redacted /year>. after realizing the fraudulent activity, i promptly reported the issue to payment_app on redacted / redacted /year>. payment_app instructed me","subject : complaint against bank bank for failure to investigate fraud and support scam victims dear cfpb representative, i am filing this formal complaint against bank redacted redacted redacted for their failure to investigate a case of fraud on my account and their refusal to assist me in recovering my stolen funds. despite my immediate reporting of the issue and submission of supporting documentation, bank closed my dispute with no follow-up, no transparency, and no evidence of a legitimate investigation. on redacted / redacted /year>, i was contacted by someone pretending to be a bank rep","on [ date ], i transferred money_amount from my redacted bank account to my payment_app account. shortly after, i transferred the funds from payment_app to my redacted account, believing i was making a legitimate investment. however, i was scammed into sending the funds from redacted to a fraudulent redacted wallet address. transaction details : money_amount sent from redacted to payment_app on redacted / redacted /year> funds then transferred from payment_app to redacted on redacted / redacted /year> bitcoin transactions : money_amount redacted money_amount redacted money_amount redacted i im"
7,200,"wire, bank, wire transfer, redacted redacted, transfer, bank bank, account, fraud, money, sent, money_amount, wire transfers, transfers, recall, scam","my contractor 's email was hacked and was not notified until after i sent a wire transfer of money_amount as the deposit for the work being done on my home. i verified the email, signature line, etc. was correct before i sent my money_amount wire transfer on redacted / redacted /2023. the following bank information was provided. the beneficiary for my wire transfer was redacted redacted redacted redacted . bank name : bank bank account name : redacted redacted redacted redacted account number : redacted routing number : redacted unfortunately, bank bank accepted my wire transfer even though th","bank bank accepted a wire transfer of money_amount on redacted / redacted /2022. the money transfer was initiated through redacted bank. bank bank wire reference number is redacted . redacted bank ask for a recall of the fund on two different times and received no response from bank bank. redacted redacted spoke with redacted redacted redacted / redacted /2022 the manager at tuist bank and she said, any issues must be directed through the wire transfer department bank to bank. redacted bank suggested i seek legal counsel.","scam redacted take my money as the following : redacted / redacted / redacted redacted from redacted redacted wire transfer at second day i got a call : fraud jp morgan bank bank did 7 times wire transfer to the scammer, until today they never call me just keep going sent to scammer. some time receiver also bank bank 's customer. redacted / redacted / redacted money_amount redacted / redacted / redacted money_amount redacted / redacted / redacted money_amount redacted / redacted / redacted money_amount redacted / redacted / redacted money_amount redacted / redacted / redacted money_amount reda"
4,118,"credit, redacted redacted, credit report, debt, report, repair, credit repair, company, paid, law, information, credit card, money_amount, lexington, lexington law",i have several inquiries on my credit report. i also have charge offs that should be removed from my credit report. i have spoken with redacted redacted about my score to no avail. i do n't know my credit scores from all 3 credit bureaus redacted redacted redacted and redacted . i would like for all of the credit inquiries to be removed as well as the charge offs and paid off credit.,"i am writing this complaint regarding the services provided by the lexington law firm for repairing my credit report. i started making payments at redacted redacted redacted . i paid redacted every month and promised me that my credit would be fix in less than 6 months.unfortunately, i am extremely dissatisfied with the outcome of their services, as they have failed to make any significant improvement to my credit report. i initially contacted lexington law firm several months ago with the hope of repairing my credit report, as it contained several errors and negative marks that were impacting","i am an redacted lady who doesn't check my credit report a lot but when my child showed me how i realized someone rented an apartment using my name, the name of the creditor is redacted redacted redacted they are on my credit report 3 times with a total debt of redacted which is not mine. also there were several hard inquiries on my report redacted redacted , redacted redacted . redacted redacted , redacted redacted delaware redacted redacted redacted redacted"
5,76,"fell victim, fell, commencing redacted, commencing, total redacted, making deposits, deposits total, involved making, fraudulent investment, multi layered, layered scam, layered, multi, deposits, victim","commencing on or around redacted redacted redacted , i fell victim to a multi-layered scam operation run by redacted redacted which involved me making deposits for a total amount of redacted usd from my crypto_exchange account to fraudulent investment firm ( s ).","commencing on or about redacted / redacted /2023, i fell victim to two multi-layered scam operations run by redacted which involved me making deposits for a total amount of redacted usd from my bank account to fraudulent investment firm.","commencing on or about redacted to redacted / redacted /year>, i fell victim to two multi-layered scam operations run by redacted redacted redacted redacted which involved me making deposits for a total amount of redacted usd from my bank bank account to fraudulent investment firm ( s )."
0,1,"closed investigation, transactions taken, checking acct, money_amount unauthorized, contacted fraud, fraud division, transactions authorized, researched, 2020 redacted, division, bank filed, redacted money_amount, acct, unauthorized transactions, transactions",redacted / redacted /2020 redacted - money_amount . redacted redacted - money_amount both unauthorized transactions taken from my checking acct. contacted fraud division of bank and filed a complaint. they researched said transactions were authorized closed investigation,,
